iter	Passed	Remaining
0	141	141625
1	146	73342
2	151	50216
3	154	38529
4	158	31529
5	163	27027
6	167	23740
7	170	21196
8	174	19210
9	179	17764
10	183	16466
11	187	15406
12	191	14573
13	196	13819
14	200	13150
15	206	12673
16	210	12169
17	214	11679
18	217	11250
19	223	10941
20	227	10587
21	231	10276
22	236	10026
23	240	9772
24	244	9527
25	249	9338
26	255	9190
27	258	8990
28	263	8806
29	268	8670
30	272	8522
31	276	8378
32	282	8264
33	285	8125
34	289	7993
35	294	7875
36	299	7788
37	303	7684
38	307	7579
39	313	7516
40	318	7446
41	324	7412
42	330	7357
43	336	7321
44	344	7317
45	351	7286
46	356	7236
47	361	7179
48	366	7116
49	373	7093
50	378	7037
51	382	6970
52	388	6939
53	392	6881
54	396	6812
55	401	6763
56	405	6709
57	409	6644
58	412	6585
59	417	6535
60	420	6479
61	424	6427
62	429	6383
63	434	6352
64	438	6301
65	442	6267
66	447	6236
67	452	6199
68	456	6154
69	461	6128
70	464	6083
71	468	6040
72	472	6005
73	477	5978
74	482	5946
75	488	5933
76	494	5925
77	498	5894
78	503	5867
79	508	5848
80	512	5811
81	516	5779
82	520	5755
83	526	5737
84	530	5710
85	535	5693
86	541	5679
87	545	5651
88	551	5641
89	556	5621
90	559	5590
91	564	5573
92	569	5556
93	573	5529
94	579	5518
95	584	5501
96	588	5476
97	593	5459
98	597	5439
99	601	5413
100	605	5388
101	610	5372
102	614	5352
103	618	5329
104	623	5315
105	627	5296
106	631	5271
107	635	5251
108	640	5233
109	644	5212
110	648	5192
111	652	5177
112	657	5160
113	662	5149
114	666	5132
115	671	5115
116	675	5094
117	678	5074
118	683	5062
119	687	5044
120	691	5020
121	694	4998
122	698	4982
123	702	4964
124	706	4945
125	709	4923
126	714	4912
127	718	4894
128	722	4876
129	725	4855
130	732	4858
131	739	4862
132	748	4876
133	753	4871
134	763	4889
135	769	4887
136	788	4964
137	797	4981
138	808	5010
139	818	5030
140	830	5060
141	841	5086
142	853	5112
143	861	5119
144	868	5122
145	879	5146
146	885	5140
147	895	5153
148	901	5149
149	909	5151
150	914	5143
151	924	5155
152	931	5154
153	936	5145
154	940	5129
155	944	5111
156	949	5099
157	955	5089
158	959	5072
159	963	5059
160	968	5045
161	972	5028
162	977	5017
163	982	5008
164	986	4991
165	990	4978
166	995	4965
167	999	4948
168	1003	4934
169	1008	4924
170	1013	4912
171	1017	4899
172	1023	4893
173	1028	4880
174	1031	4864
175	1035	4850
176	1040	4837
177	1044	4823
178	1048	4808
179	1052	4795
180	1057	4787
181	1062	4776
182	1067	4767
183	1072	4758
184	1077	4744
185	1081	4731
186	1087	4726
187	1091	4716
188	1096	4704
189	1102	4698
190	1109	4697
191	1114	4689
192	1119	4680
193	1122	4665
194	1128	4657
195	1132	4646
196	1136	4632
197	1141	4624
198	1146	4616
199	1151	4605
200	1159	4610
201	1164	4600
202	1168	4588
203	1173	4580
204	1180	4577
205	1185	4569
206	1192	4567
207	1198	4564
208	1206	4566
209	1210	4553
210	1214	4540
211	1219	4531
212	1223	4520
213	1227	4507
214	1231	4496
215	1235	4484
216	1239	4472
217	1243	4460
218	1249	4455
219	1263	4481
220	1273	4488
221	1282	4493
222	1287	4486
223	1292	4478
224	1303	4488
225	1307	4477
226	1311	4465
227	1315	4455
228	1320	4445
229	1324	4432
230	1327	4419
231	1332	4411
232	1337	4401
233	1341	4390
234	1350	4397
235	1354	4385
236	1358	4374
237	1364	4367
238	1367	4355
239	1372	4346
240	1378	4339
241	1382	4330
242	1387	4321
243	1391	4311
244	1396	4302
245	1400	4291
246	1403	4280
247	1409	4273
248	1413	4261
249	1416	4249
250	1421	4240
251	1425	4232
252	1430	4223
253	1435	4215
254	1439	4206
255	1444	4197
256	1448	4186
257	1452	4177
258	1457	4168
259	1462	4161
260	1466	4153
261	1471	4145
262	1476	4136
263	1481	4128
264	1486	4123
265	1490	4113
266	1495	4105
267	1500	4099
268	1504	4089
269	1508	4078
270	1513	4072
271	1518	4063
272	1522	4053
273	1526	4045
274	1531	4037
